isbn13,title,authorLN,authorFN,subjects,num of subjects,format,price,publisher,pubdate
9780547201948,"The Heath Anthology of American Literature: Modern Period (1910?1945), Volume D",Curnutt,Kirk,American Literature Anthologies,1.0,Paperback,$80.66,Cengage Learning,February 2009
9780375415043,Poems of New York,Schmidt,Elizabeth,"Poetry Anthologies, American Poetry, Poetry of Places, American Literature Anthologies",4.0,Hardcover,$11.02,Knopf Doubleday Publishing Group,August 2002
9780684823072,"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2",Shine,Ted,"Peoples & Cultures - American Anthologies, Drama Anthologies, American Drama, Peoples & Cultures - Drama, American Literature Anthologies",5.0,Hardcover,$19.27,Simon & Schuster Adult Publishing Group,February 1996
9780451529633,The Signet Classic Book of American Short Stories,Raffel,Burton,"Short Story Anthologies, American Literature Anthologies",2.0,Mass Market Paperback,$7.75,Penguin Group (USA),November 2004
9780812975093,The American Transcendentalists: Essential Writings,Buell,Lawrence,American Literature Anthologies,1.0,Paperback,$11.75,Random House Publishing Group,January 2006
9781881847083,Finding Freedom: Writings from Death Row,Masters,Jarvis Jay,"Literary Criticism, American",2.0,Paperback,$11.23,Padma Publishing,September 1997
9780618197354,The Best American Short Stories 2004,Moore,Lorrie,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",4.0,Paperback,$28.95,Houghton Mifflin Harcourt,October 2004
9780814775721,New York Stories: The Best of the City Section of the New York Times,Rosenblum,Constance,"Americans - Regional Biography, Essays, American Literature Anthologies, United States Studies, General & Miscellaneous Literature Anthologies, Mapped Categories - Literature",6.0,Paperback,$11.95,New York University Press,May 2005
9781400077182,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Garcia,Cristina,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies",2.0,Paperback,$13.95,Knopf Doubleday Publishing Group,October 2006
9781557837493,The Best American Short Plays 2007-2008,Parisi,Barbara,"Performing Arts, Theater",2.0,Paperback,$18.99,Applause Theatre Book Publishers,August 2009
